robot_case;previous_errors_30d;battery_pct;sensor_confidence_pct;task_risk_level;safety_check_passed;allowed_to_work_alone
HR-001;3;31;72;2;1;1
HR-002;4;97;60;3;1;1
HR-003;1;31;90;1;1;1
HR-004;1;63;55;4;1;0
HR-005;1;55;76;1;1;1
HR-006;1;61;57;3;1;0
HR-007;2;98;73;4;1;0
HR-008;3;36;57;3;1;0
HR-009;5;40;79;2;1;0
HR-010;2;54;97;2;0;0
HR-011;3;49;89;3;1;0
HR-012;8;99;69;3;1;0
HR-013;1;32;75;2;1;0
HR-014;3;68;68;3;1;0
HR-015;2;61;63;2;1;1
HR-016;3;79;78;2;0;0
HR-017;0;34;62;1;1;0
HR-018;3;77;79;3;1;1
HR-019;3;29;98;3;1;0
HR-020;1;71;62;2;1;1
HR-021;4;61;87;4;1;1
HR-022;3;92;93;1;1;1
HR-023;7;95;55;3;1;0
HR-024;1;67;70;1;1;0
HR-025;0;90;59;5;1;1
HR-026;3;98;65;2;1;1
HR-027;1;97;99;1;1;0
HR-028;3;84;88;2;1;1
HR-029;0;98;69;3;1;1
HR-030;0;36;57;4;1;0
HR-031;3;55;89;1;0;0
HR-032;2;88;81;1;1;1
HR-033;2;87;58;3;0;0
HR-034;2;71;61;2;1;0
HR-035;2;63;84;2;0;0
HR-036;5;98;61;1;0;0
HR-037;7;58;65;2;1;0
HR-038;6;49;79;1;1;0
HR-039;4;64;82;3;1;0
HR-040;3;90;64;1;1;1
HR-041;4;35;75;1;1;0
HR-042;5;48;58;5;1;0
HR-043;3;58;80;1;0;1
HR-044;3;38;81;3;1;0
HR-045;1;68;70;2;1;0
HR-046;2;37;55;2;0;0
HR-047;0;55;87;2;0;0
HR-048;5;75;73;1;1;0
HR-049;3;95;55;3;1;0
HR-050;0;45;71;1;1;1
HR-051;1;54;76;1;1;1
HR-052;2;34;60;3;1;1
HR-053;1;44;95;5;1;0
HR-054;4;99;55;1;0;0
HR-055;0;32;78;3;1;1
HR-056;1;33;77;2;1;1
HR-057;4;80;94;3;0;1
HR-058;0;50;81;1;1;1
HR-059;6;59;72;1;1;0
HR-060;0;88;69;1;0;1
HR-061;5;57;69;1;1;0
HR-062;5;63;77;3;1;0
HR-063;2;31;62;4;1;0
HR-064;8;32;61;3;1;0
HR-065;2;93;62;2;1;1
HR-066;4;28;88;5;1;0
HR-067;4;53;78;2;0;0
HR-068;3;43;74;3;1;0
HR-069;3;98;63;1;1;1
HR-070;4;50;94;3;1;0
HR-071;6;97;79;3;1;0
HR-072;5;98;68;5;0;0
HR-073;4;25;73;2;1;1
HR-074;1;82;72;3;1;1
HR-075;7;29;62;5;0;0
HR-076;6;41;89;2;1;0
HR-077;2;79;96;4;0;0
HR-078;1;80;71;4;0;0
HR-079;1;51;80;5;0;0
HR-080;0;67;54;5;0;1
HR-081;4;78;67;3;0;0
HR-082;4;37;84;3;1;1
HR-083;3;50;77;4;0;0
HR-084;5;59;90;4;1;0
HR-085;6;34;58;1;1;0
HR-086;5;32;84;5;1;0
HR-087;1;73;77;1;1;1
HR-088;2;97;62;5;0;0
HR-089;2;97;99;1;1;1
HR-090;6;27;73;2;1;1
HR-091;2;92;84;5;0;0
HR-092;4;41;65;1;0;0
HR-093;0;22;67;4;1;0
HR-094;3;70;85;4;1;0
HR-095;6;23;84;2;1;0
HR-096;2;40;79;1;1;1
HR-097;7;73;95;1;1;0
HR-098;6;71;90;4;1;0
HR-099;7;68;53;4;0;0
HR-100;6;86;72;2;0;0
HR-101;5;28;58;5;1;0
HR-102;5;79;68;4;1;0
HR-103;5;77;53;4;1;0
HR-104;2;74;67;3;1;0
HR-105;5;75;76;3;1;0
HR-106;7;50;55;2;0;0
HR-107;3;86;74;1;1;1
HR-108;7;34;81;4;0;0
HR-109;6;71;95;2;1;0
HR-110;5;70;92;2;1;0
HR-111;5;53;54;5;1;0
HR-112;0;46;77;2;0;0
HR-113;4;43;75;5;1;0
HR-114;5;79;62;2;0;0
HR-115;0;57;52;2;0;0
HR-116;1;21;54;5;0;0
HR-117;6;40;65;2;0;0
HR-118;7;90;92;4;1;0
HR-119;1;55;52;5;1;0
HR-120;0;91;86;3;1;1
