person_id;fitness_score;gaming_hours_week;run_speed_kmh;food_cans;distance_to_zombie_m;survived
1;2;0;14,6;7;23,9;0
2;2;18;10,5;0;11,2;0
3;10;0;12,3;22;65,7;1
4;1;24;15,5;22;43,4;1
5;4;30;14,9;3;11,1;0
6;1;23;11;3;97,4;1
7;9;9;15,8;19;88,8;1
8;4;24;8,8;2;85,8;0
9;7;8;10,9;11;17,9;0
10;2;19;13,3;17;73,5;1
11;7;8;17,9;20;69,4;1
12;1;7;15,7;25;32,9;1
13;4;29;17,3;22;32,8;0
14;8;4;8,4;7;75;0
15;10;13;16,7;12;37,5;1
16;1;27;6,4;20;17,7;0
17;10;2;10;19;99,6;0
18;1;21;14,4;21;88,7;0
19;6;3;8,8;5;46,5;1
20;9;24;7,3;3;87,3;1
21;9;19;7,6;11;76,7;0
22;1;19;9,2;0;13;0
23;5;7;5,8;18;94,8;1
24;9;24;6,6;21;48,6;1
25;5;16;16,3;13;96,5;1
26;5;12;17,9;20;38,6;0
27;8;3;8,2;2;35,1;0
28;2;22;13,2;7;8,6;1
29;6;2;11,7;8;67,6;0
30;10;18;11,1;25;48,4;1
31;2;3;13,6;11;43,5;0
32;2;1;10,2;10;80,5;1
33;4;6;12;4;43,3;0
34;8;25;16,2;17;11,6;1
35;9;26;5,2;2;92,8;0
36;4;27;10,2;1;18,1;1
37;7;8;17;25;46,6;0
38;9;21;14,3;4;20,6;1
39;1;18;14,6;1;75,3;1
40;9;5;5,7;16;9,9;1
41;10;2;13,8;7;41,6;1
42;1;19;6,1;21;59,2;0
43;5;6;13,7;10;25,4;0
44;6;29;14,8;2;2,9;0
45;10;3;6;6;51,6;1
46;4;11;8,7;14;83,7;0
47;10;25;13,5;0;67,5;1
48;3;8;6,5;3;74,8;0
49;5;19;7,7;10;22;0
50;1;2;13,2;8;6,3;0
51;3;20;17,7;5;74,6;1
52;2;30;16,5;4;55,5;0
53;10;17;6,9;4;6,1;0
54;1;28;9,7;21;26,5;1
55;9;28;16,4;19;75,4;1
56;3;28;10,4;5;74,2;0
57;7;25;13,7;23;81,5;1
58;1;27;11,1;6;82;0
59;5;26;15,3;7;23,8;1
60;2;30;15,1;11;64,9;0
61;9;10;17,2;3;87,9;0
62;1;3;12,8;11;73,4;1
63;10;16;6,5;18;20,6;1
64;9;21;14,4;23;74,2;1
65;7;2;17,3;10;63,1;0
66;9;9;13,7;10;41,4;1
67;3;6;10,5;12;68,4;1
68;9;26;5;9;22,6;0
69;10;20;9,2;14;45,3;0
70;3;21;6,1;16;67,1;0
71;2;26;17,4;7;67,9;1
72;4;15;12,9;24;9,1;1
73;10;6;14,3;12;50,4;1
74;2;24;10,5;5;80,8;0
75;8;1;12,2;3;46,7;0
76;10;10;17,4;14;62;1
77;9;13;15,8;17;45,7;1
78;4;26;13,3;24;78,2;1
79;4;8;10,7;22;30;0
80;3;4;8;22;17;0
81;7;13;9,3;14;42,7;0
82;10;30;14;24;58,4;1
83;6;9;14,8;13;54,7;0
84;8;7;8,5;15;4,8;0
85;7;23;7,1;14;92,1;0
86;10;18;13,6;2;65;1
87;8;5;5,7;12;34,1;0
88;5;24;17,4;13;26,7;1
89;1;23;12;11;24;1
90;1;30;8,2;0;62,9;0
91;8;21;6,5;6;47,6;0
92;2;24;15,7;9;12,6;1
93;5;18;13,8;12;40,9;0
94;4;3;14,1;9;85,3;0
95;2;25;17,8;25;6;1
96;6;0;16;15;12,3;0
97;8;22;7;5;73,9;0
98;9;24;11,3;13;82,9;1
99;6;27;8,2;2;29,3;0
100;7;10;5,4;10;19,8;1
101;5;10;8,6;19;70,7;0
102;2;7;14,4;15;56,4;1
103;8;20;14,3;14;79,7;1
104;5;21;12,6;15;56,2;1
105;9;10;9,6;14;28,5;1
106;2;23;12;24;69,6;1
107;8;8;14,4;24;53,4;1
108;4;11;7,3;0;71,4;1
109;1;1;12,2;22;94,5;1
110;1;18;8,7;15;45,2;0
111;1;8;17,2;15;13,2;0
112;1;4;6,9;18;95;1
113;4;3;12,3;13;61,4;0
114;8;29;10,8;18;99;1
115;10;1;12,9;23;11,7;1
116;2;5;8,1;17;9,4;1
117;8;22;12,7;9;5,2;0
118;2;21;8;8;79,2;0
119;4;13;6,5;7;65,5;1
120;3;25;9;23;82,8;0
